教学班,培养类型,课程代码,课程名称,课程性质,课程类别,授课语言,学分,学时,教师,上课信息,选课要求,面向对象,限制对象,本科生容量/已选,研究生容量/已选,开课院系
创新设计实践I-01班-双语-后置名单,本,SDM402,创新设计实践I Innovation Design Practice I,必修,实践,双语,2.0,64.0,熊异 YE LIN (叶林),,,,,32/0,0/0,自动化与智能制造学院
工业实习-01班-双语-后置名单,本,SDM403,工业实习 Internship,必修,实践,双语,2.0,64.0,吴旭阳,,,,,60/0,0/0,自动化与智能制造学院
创新设计实践II-01班-双语-后置名单,本,SDM404,创新设计实践II Innovation Design Practice II,必修,实践,双语,2.0,64.0,岳天奇,,,,,32/0,0/0,自动化与智能制造学院
毕业论文(设计)-01班-双语-后置名单,本,SDM405,毕业论文(设计) Thesis(Graduation Project),必修,专业必修课,双语,8.0,256.0,陈亮名 林志赟 孔贺 刘国平 吴旭阳 刘涛,,,,,10/0,0/0,自动化与智能制造学院
创新设计实践-01班-双语-后置名单,本,SDM406,创新设计实践 Innovation Design Practice,必修,实践,双语,3.0,96.0,YE LIN (叶林) 熊异,,,,,32/0,0/0,自动化与智能制造学院
毕业设计-01班-双语-后置名单,本,SDM491,毕业设计 Capstone,必修,实践,双语,12.0,384.0,熊异 王振坤 白紫千 李洪飞 郑晓晨 张嘉欣 陈园,,,,,15/0,0/0,自动化与智能制造学院
毕业论文(设计)-01班-双语-后置名单,本,SDM492,毕业论文(设计) Thesis (Graduation Project),必修,实践,双语,12.0,384.0,陈亮名 林志赟 刘国平 孔贺 丁克蜜 刘德荣 陈剑,,,,,45/0,0/0,自动化与智能制造学院
非线性控制系统-01班-英文,研,SDM5017,非线性控制系统 Nonlinear Control Systems,必修,专业选修课,英文,3.0,48.0,刘涛,"1-15周,星期一第9-11节 智华楼105",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,60 / 11,自动化与智能制造学院
逻辑思维与人工智能-01班-中文,研,SDM5018,逻辑思维与人工智能 Logical Thinking and Artificial Intelligence,选修,专业选修课,中文,3.0,48.0,马兆远,"1-15周,星期三第9-11节 智华楼108",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,157 / 155,自动化与智能制造学院
线性系统-01班-中文,研,SDM5025,线性系统 Linear Systems,必修,专业必修课,中文,3.0,48.0,王莉莉,"1-15周,星期二第9-11节 智华楼103",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,60 / 11,自动化与智能制造学院
鲁棒控制基础-01班-英文,研,SDM5026,鲁棒控制基础 Foundation of Robust Control,必修,专业选修课,英文,2.0,32.0,徐翔,"1-8,10,12-15周,星期二第9-10节 智华楼202 9周,星期六第5-6节 智华楼202 14周,星期六第5-6节 智华楼202",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,60 / 13,自动化与智能制造学院
分布式优化与学习-01班-中文,研,SDM5028,分布式优化与学习 Distributed Optimization and Learning,必修,专业选修课,中文,3.0,48.0,吴旭阳,"1-15周,星期四第9-11节 智华楼203",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,60 / 20,自动化与智能制造学院
科学技术史-01班-中文,研,SHS5004,科学技术史 An Introduction on History of Science and Technology,必修,专业核心课,中文,2.0,32.0,田松,"1-15周,星期一第7-8节 智华楼302",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,30 / 25,人文社会科学学院
集成电路概论-01班-双语,本,SME104,集成电路概论 Introduction of Integrated Circuits,任选,专业导论类,双语,2.0,32.0,汪敏,"1-15周,星期三第7-8节 一教110",,,,100 / 77,0 / 0,深港微电子学院
电路分析基础-02班-双语,本,SME105,电路分析基础 Fundamentals of Circuit Analysis,必修,专业基础课,双语,3.0,48.0,宋爱民,"1-15周,星期五第7-8节 一教108 2-14双周,星期三第3-4节 一教108",,,,50 / 19,0 / 0,深港微电子学院
电磁场与电磁波-01班-双语,本,SME205,电磁场与电磁波 Electromagnetic Field and Electromagnetic Wave,必修,专业基础课,双语,3.0,48.0,赵前程,"1-15周,星期三第3-4节 一教301 2-14双周,星期五第5-6节 一教301",,,,60 / 72,0 / 0,深港微电子学院
信号与系统-01班-双语,本,SME206,信号与系统 Signals and Systems,必修,专业基础课,双语,3.0,64.0,李嘉敏,"1-8,10-15周,星期二第7-8节 智华楼204 9周,星期二第7-8节 一教305",,,,65 / 64,0 / 0,深港微电子学院
芯片应用实践-01班-双语,本,SME208,芯片应用实践 Chip Application Practic,选修,专业选修课,双语,1.0,32.0,黄嘉炜,"黄嘉炜 上课信息: 1-15周,星期二第5-6节 工学院北楼139",,,,30/32,0/0,深港微电子学院
模拟集成电路-01班-双语,本,SME211,模拟集成电路 Analog Integrated Circuit,必修,专业基础课,双语,4.0,80.0,方小虎,"方小虎 上课信息: 1-15周,星期一第7-8节 一教427 2-14双周,星期四第3-4节 一教427",,,,90/95,0/0,深港微电子学院
医学智能传感技术-01班-英文,本,BMEB332,医学智能传感技术 Intelligent Sensing Technology,必修,专业核心课,英文,3.0,48.0,罗智,"选课要求:上机课智华楼502和503同时使用 上课信息: 1-15单周,星期三第9-10节 一教527 1-6,8-15周,星期五第3-4节 一教527 7周,星期六第7-8节 一教527",上机课智华楼502和503同时使用,,,90 / 85,0 / 0,生物医学工程系
生物材料与组织工程实验-01班-双语,本,BMEB334,生物材料与组织工程实验 Biomaterials and Tissue Engineering Laboratory,选修,专业选修课,双语,2.0,64.0,杨用,"上课信息: 1-15周,星期二第5-8节 慧园2栋306实验室",,,,24 / 24,0 / 0,生物医学工程系
生物材料与组织工程实验-02班-双语,本,BMEB334,生物材料与组织工程实验 Biomaterials and Tissue Engineering Laboratory,选修,专业选修课,双语,2.0,64.0,杨用,"上课信息: 1-15周,星期三第5-8节 慧园2栋306实验室",,,,24 / 24,0 / 0,生物医学工程系
生物医学工程设计(二)-01班-中文-后置名单,本,BMEB423,生物医学工程设计(二) Biomedical Engineering Design I I,必修,专业必修课,中文,4.0,128.0,王丹,,,,,5 / 0,0 / 0,生物医学工程系
专业实习-01班-双语-后置名单,本,BMEB470,专业实习 Professional Practice,必修,实践,双语,2.0,64.0,王丹,,,,,10 / 0,0 / 0,生物医学工程系
数字集成电路-01班-双语-3组,本,SME212,数字集成电路 Digital Integrated Circuit,必修,专业基础课,双语,4.0,80.0,"呼唤, 黄嘉炜","1-15周,星期三第7-8节 工学院北楼139
主任务:
呼唤
上课信息:
1-15周,星期一第3-4节 一教301
1-7单,11-15单周,星期四第3-4节 一教301
9周,星期四第3-4节 一教527
课内实验:
黄嘉炜
上课信息:
1-15周,星期四第9-10节 工学院北楼139",,,,20 / 19,0 / 0,深港微电子学院
半导体材料物理-01班-双语,本,SME213,半导体材料物理 Semiconductor Material Physics,必修,专业基础课,双语,3.0,48.0,崔德虎,"上课信息:
1-15周,星期三第5-6节 一教323
1-15单周,星期五第5-6节 一教323",,,,50 / 17,0 / 0,深港微电子学院
半导体器件物理-01班-双语,本,SME214,半导体器件物理 Semiconductor Device Physics,必修,专业基础课,双语,3.0,64.0,LI YIDA (李毅达) 陈鹏,"上课信息:
1周,星期一第9-10节 一教111
2-15周,星期一第9-10节 一教111",,,,70 / 70,0 / 0,深港微电子学院
半导体器件物理-01班-双语-1组,本,SME214,半导体器件物理 Semiconductor Device Physics,必修,专业基础课,双语,3.0,64.0, LI YIDA (李毅达) 陈鹏  蒋苓利,"主任务: LI YIDA (李毅达) 陈鹏 上课信息: 1周,星期一第9-10节 一教111 2-15周,星期一第9-10节 一教111 课内实验: 蒋苓利 上课信息: 1-15周,星期二第1-2节 智华楼505机房",,,,35 / 35,0 / 0,深港微电子学院
半导体器件物理-01班-双语-2组,本,SME214,半导体器件物理 Semiconductor Device Physics,必修,专业基础课,双语,3.0,64.0,LI YIDA (李毅达) 陈鹏  蒋苓利,"主任务: LI YIDA (李毅达) 陈鹏 上课信息: 1周,星期一第9-10节 一教111 2-15周,星期一第9-10节 一教111 课内实验: 蒋苓利 上课信息: 1-15周,星期二第5-6节 智华楼505机房",,,,35 / 35,0 / 0,深港微电子学院
先进数字CMOS集成电路设计-01班-双语-1组,本,SME306,先进数字CMOS集成电路设计 Advanced Digital CMOS IC Design,必修,专业核心课,双语,3.0,80.0,詹陈长,"1-8周,星期一第7-8节 一科报告厅; 1-15周,星期三第5-8节 智华楼502机房",实验1组，智华楼502和503同时使用,,,90 / 90,0 / 0,深港微电子学院
先进数字CMOS集成电路设计-01班-双语-2组,本,SME306,先进数字CMOS集成电路设计 Advanced Digital CMOS IC Design,必修,专业核心课,双语,3.0,80.0,詹陈长,"1-8周,星期一第7-8节 一科报告厅; 1-15周,星期四第5-8节 智华楼508机房",实验1组，智华楼502和503同时使用,,,70 / 66,0 / 0,深港微电子学院
CMOS模拟集成电路设计-01班-双语,本,SME307,CMOS模拟集成电路设计 CMOS Analog Integrated Circuit Design,必修,专业核心课,双语,3.0,64.0,刘小龙,"1-15周,星期二第7-8节 一教324 1-9,11-15周,星期四第9-10节 智华楼506机房 10周,星期四第9-10节 智华楼205",,,,30 / 16,0 / 0,深港微电子学院
先进半导体工艺实践-01班-双语,本,SME308,先进半导体工艺实践 Advanced Semiconductor Fabrication Laboratory,选修,专业选修课,双语,3.0,72.0,崔德虎,"1-12周,星期一第5-6节 一教324",,,,24 / 24,0 / 0,深港微电子学院
