教学班,培养类型,课程代码,课程名称,课程性质,课程类别,授课语言,学分,学时,教师,上课信息,选课要求,面向对象,限制对象,本科生容量/已选,研究生容量/已选,开课院系
劳动教育-01班-中文-只面向力航系研究生,研,ACA6003,劳动教育 Labor Education,,培养环节,中文,1.0,32.0,肖思 赵晓亭,"3,7,9,13周,星期日第1-4节 校外活动场所 3,7,9,13周,星期日第5-8节 校外活动场所 选课要求:本课程只面向力航系研究生",,"学院:力学与航空航天工程系,","年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,48 / 38,力学与航空航天工程系
劳动教育-02班-中文-只面向力航系研究生,研,ACA6003,劳动教育 Labor Education,,培养环节,中文,1.0,32.0,刘晓宇,"3,7,9,13周,星期日第1-8节 校外活动场所 选课要求:本课程只面向力航系研究生",,"学院:力学与航空航天工程系,","年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,24 / 16,力学与航空航天工程系
学术交流-01班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,周招弟,,,,,0 / 0,30 / 0,统计与数据科学系
学术交流-02班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,罗淑芳,,,,,0 / 0,30 / 0,生物医学工程系
学术交流-03班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,宋波,,,,,0 / 0,30 / 0,电子与电气工程系
学术交流-04班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,张一,,,,,0 / 0,30 / 0,医学院
遗传学-01班-双语,本,BIO301,遗传学 Genetics,必修,专业基础课,双语,3.0,48.0,黄鸿达，余化鹏,"1-15周,星期一第3-4节 一教404；1-7周,11-15周,星期四第9-10节 一教404；9周,星期四第9-10节 一教404",,,,30/23,0/0,生物系
现代生物技术-01班-双语,本,BIO302,现代生物技术 Modern Biotechnology,选修,专业选修课,双语,3.0,48.0,宋昆,"1-15周,星期一第1-2节 一教305；1-15周,星期三第5-6节 一教305",,,,30/23,0/0,生物系
系统生物学-01班-双语,本,BIO304,系统生物学 Systems Biology,必修,专业核心课,双语,3.0,48.0,闫凯歌，何思聪，余化鹏,"1-15周,星期三第9-10节 一教226；2-4,8-14双周,星期一第5-6节 一教226；2-14双周,星期一第5-6节 一教226；5周,星期一第5-6节 一教227",2023级生物信息学专业核心课，生物科学专业选修课。,,,30/29,0/0,生物系
电子信息科学研实践II -01班-双语,本,EE354,电子信息科学研实践II Research Practice of Electronic and Information Science II,选修,专业选修课,双语,1.0,32.0,张青峰,"1-15周,星期六第5-6节 无地点",,,,10/7,0/0,电子与电气工程系
机器人运动与控制方法-01班-英文,本,EE368,机器人运动与控制方法 Robotic Motion and Control,选修,专业选修课,英文,3.0,64.0,孟庆虎,"1-15周,星期三第3-4节 一教324；1-15周,星期三第7-8节 工学院南楼433",,,,50/46,0/0,电子与电气工程系
电子科学创新实验III-01班-中文,本,EE405,电子科学创新实验III Advanced Electronic Science Experiment III,必修,专业核心课,中文,1.0,32.0,吴光,"1-15周,星期六第7-8节 无地点",,,,120/99,0/0,电子与电气工程系
工业实习-01班-中文-后置名单,本,EE470,工业实习 Industrial Practice,必修,实践,中文,2.0,64.0,陈霏,,,,,50/0,0/0,电子与电气工程系
毕业论文（设计）-01班-中文-后置名单,本,EE490,毕业论文（设计） Degree Thesis (Design),毕业设计/论文,专业必修课,中文,8.0,288.0,王小静,,,,,10/0,0/0,电子与电气工程系
毕业论文（设计）-01班-中文-后置名单,本,EE492,毕业论文（设计） Degree Thesis (Design),毕业设计/论文,专业必修课,中文,12.0,384.0,王小静,,,,,110/0,0/0,电子与电气工程系
信号检测与估计-01班-英文,研,EEE5034,信号检测与估计 Signal Detection and Estimation,选修,专业选修课,英文,3.0,48.0,袁伟杰,"1-7,9-13,15周,星期一第9-10节 一教524；1-15周,星期一第11-11节 一教524；9周,星期日第7-8节 一教524；14周,星期日第7-8节 一教524",,,"年级:2025,学院:深圳理工大学,层次:硕士",0/0,35/13,电子与电气工程系
现代半导体器件物理-01班-英文,研,EEE5055,现代半导体器件物理 Physics of Modern Semiconductor Devices,必修,专业核心课,英文,3.0,48.0,刘召军,"1-9,11-15周,星期一第9-10节 智华楼102；1-15周,星期一第11-11节 智华楼102；15周,星期四第7-8节 智华楼205",,,"年级:2025,学院:深圳理工大学,层次:硕士",0/0,75/56,电子与电气工程系
信息技术基础-01班-中文,研,EEE5058,信息技术基础 Introduction to Information Technology,必修,专业必修课,中文,3.0,48.0,王建坤,"1-14周,星期三第9-10节 一教506；1-14周,星期三第11-11节 一教506；13周,星期日第9-10节 一教506；13周,星期日第11-11节 一教506",,,"年级:2025,学院:深圳理工大学,层次:硕士",0/0,75/35,电子与电气工程系
集成电路制造技术-01班-中文,研,EEE5059,集成电路制造技术,必修,专业核心课,中文,3.0,48.0,化梦媛,"1-15周,星期一第5-6节 智华楼306；1-15周,星期四第5-6节 智华楼306",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,55/30,电子与电气工程系
计算方法-01班-中文,研,EEE5062,计算方法,必修,专业必修课,中文,3.0,48.0,张新海,"1-15周,星期四第9-11节 一教111",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,75/74,电子与电气工程系
天线理论与技术-01班-英文,研,EEE5064,天线理论与技术,必修,专业核心课,英文,3.0,64.0,董云扬，程庆沙,"1-15周,星期二第6-8节 智华楼308；1-15周,星期三第1-2节 慧园2栋410实验",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,35/13,电子与电气工程系
现代工程创新科技与管理-01班-英文,研,EEE5069,现代工程创新科技与管理,选修,专业选修课,英文,3.0,48.0,于明,"1-15周,星期二第3-4节 一教325；1-15周,星期五第3-4节 一教325",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,40/21,电子与电气工程系
现代无源射频器件与自动化设计-01班-中文,研,EEE5072,现代无源射频器件与自动化设计,选修,专业选修课,中文,3.0,48.0,曾奕,"1-15周,星期二第9-11节 一教524",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,35/14,电子与电气工程系
集成天线-01班-英文,研,EEE5073,集成天线 Integrated Antenna,选修,专业选修课,英文,2.0,32.0,张跃平,"1-15周,星期五第1-2节 一教123",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,35/5,电子与电气工程系
移动机器人自主导航-01班-英文,研,EEE5346,移动机器人自主导航 Autonomous Robot Navigation,选修,专业选修课,英文,3.0,48.0,HONG ZHANG (张宏),"1-15周,星期三第5-6节 一教123；2-14双周,星期一第5-6节 一教123",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,45/39,电子与电气工程系
图像视频压缩与网络通信-01班-英文,研,EEE5347,图像视频压缩与网络通信 Image/Video Compression and Network Communication,选修,专业选修课,英文,3.0,48.0,何志海,"1-15周,星期一第7-8节 一教123；1-15单周,星期三第7-8节 一教123",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,45/17,电子与电气工程系
医疗机器人技术-01班-中文,研,EEE5349,医疗机器人技术 Medical Robotic s Technology,选修,专业选修课,中文,3.0,48.0,郭书祥,"1-12周,星期一第9-10节 一教525；1-12周,星期一第11-11节 一教525；4周,星期六第2-2节 一教525；4周,星期日第3-4节 一教525；5周,星期日第3-4节 一教525；5周,星期六第2-2节 一教525；7周,星期六第2-2节 一教525；7周,星期六第3-4节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,50/36,电子与电气工程系
大学地球科学.02班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,王蕊蕊,"上课信息: 1-15周,星期二第3-4节 智华楼307 1-15周,星期四第1-2节 智华楼307",,,,30/35,0/0,地球与空间科学系
大学地球科学.03班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,叶生毅,"上课信息: 1-3,5-15周,星期三第7-8节 智华楼307 1-15周,星期五第5-6节 智华楼307 6周,星期五第5-6节 智华楼307",,,,30/27,0/0,地球与空间科学系
大学地球科学.04班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,杨英杰,"上课信息: 1-15周,星期二第1-2节 智华楼307 1-15周,星期四第3-4节 智华楼307",,,,30/30,0/0,地球与空间科学系
大学地球科学.05班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,刘青松,"上课信息: 1-15周,星期一第5-6节 智华楼307 1-15周,星期三第5-6节 智华楼307",,,,30/31,0/0,地球与空间科学系
大学地球科学.06班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,周祐民,"上课信息: 1-15周,星期二第7-8节 智华楼307 1-15周,星期五第3-4节 智华楼307",,,,30/40,0/0,地球与空间科学系
大学地球科学.07班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,杨新,"1-15单周,星期一第1-2节 智华楼307
1-15周,星期三第3-4节 智华楼307",,,,30 / 46,0 / 0,地球与空间科学系
大学地球科学.08班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,叶建淮,"1-15周,星期二第3-4节 智华楼306
2-14双周,星期四第1-2节 智华楼306",,,,30 / 38,0 / 0,地球与空间科学系
大学地球科学.09班-双语,本,EOE111,大学地球科学 College Earth Science,必修,通识必修课,双语,3.0,48.0,史海匀,"1-15周,星期四第3-4节 智华楼306
2-14双周,星期二第1-2节 智华楼306",,,,30 / 28,0 / 0,地球与空间科学系
环境学导论-01班-英文,本,ESE202,环境学导论,必修,专业基础课,英文,2.0,32.0,郑焰,"1-5,7-12,14周,星期二第3-4节 一教403；6周,星期二第3-4节 工学院南楼740；13周,星期二第3-4节 工学院南楼740；14周,星期六第3-4节 一教403",,,,20/5,10/0,环境科学与工程学院
物理化学基础-01班-双语,本,ESE205,物理化学基础,必修,专业基础课,双语,3.0,48.0,唐圆圆,"1-15周,星期四第3-4节 一教405；2-14双周,星期二第9-10节 一教405",,,,20/5,0/0,环境科学与工程学院
环境化学-01班-双语,本,ESE206,环境化学,必修,专业核心课,双语,3.0,48.0,陈洪,"1-15周,星期三第9-10节 一教405；1-15单周,星期五第1-2节 一教405",,,,20/15,0/0,环境科学与工程学院
全球可持续发展与绿色“一带一路”-1班-中文,本,ESE209,全球可持续发展与绿色“一带一路”,选修,社科类,中文,2.0,32.0,史江红,"1-9,11-15周,星期三第9-10节 一教424；10周,星期二第9-10节 一教411",,,,30/26,10/0,环境科学与工程学院
环境监测实验-01班-中文,本,ESE214,环境监测实验,必修,专业核心课,中文,1.0,32.0,熊鹰,"2-14双周,星期二第6-8节 工学院南楼740",,,,20/5,0/0,环境科学与工程学院
水力学-01班-中文,本,ESE216,水力学,必修,专业核心课,中文,3.0,48.0,匡星星,"1-15周,星期一第7-8节 一教225；2-14双周,星期三第1-2节 一教225",,,,20/4,10/2,环境科学与工程学院
水力学基础实验-01班-中文,本,ESE218,水力学基础实验,必修,专业核心课,中文,0.5,16.0,匡星星,"2,4周,星期二第7-8节 一教222；6-14双周,星期二第7-8节 工学院北楼137",,,,18/4,10/1,环境科学与工程学院
城市与环境-01班-中文,本,ESE223,城市与环境,选修,专业导论类,中文,3.0,48.0,王扬,"1-13,15周,星期二第9-10节 一教125；1-15单周,星期四第9-10节 一教125；14周,星期二第9-10节 田径场",,,,30/26,0/0,环境科学与工程学院
环境微生物学-01班-双语,本,ESE301,环境微生物学 Environmental Microbiology,选修,专业选修课,双语,3.0,48.0,夏雨,"1-15周,星期三第7-8节 一教305；2-14双周,星期五第3-4节 一教305",,,,20/1,10/10,环境科学与工程学院
固体废弃物处理处置与资源化-01班-中文,本,ESE302,"固体废弃物处理处置与资源化 Solid Waste Treatment, Disposal and Recycling",必修,专业核心课,中文,3.0,48.0,雷洋,"1-15周,星期一第5-6节 一教405；1-15单周,星期三第5-6节 一教405",,,,20/8,0/0,环境科学与工程学院
大气污染与防治-01班-双语,本,ESE304,大气污染与防治 Atmospheric Pollution Prevention and Control,必修,专业核心课,双语,3.0,48.0,沈惠中,"1-15周,星期一第3-4节 一教221；1-7单,9-10,13,15周,星期三第3-4节 一教221",,,,20/5,0/0,环境科学与工程学院
环境经济学-01班-中文,本,ESE308,环境经济学 Environmental Economics,选修,专业选修课,中文,3.0,48.0,叶斌,"1-15周,星期二第3-4节 一教222；1-15单周,星期五第3-4节 一教222",,,,20/12,8/0,环境科学与工程学院
环境科学与工程实验（二）-01班-中文,本,ESE310,环境科学与工程实验（二） Environmental Science and Engineering Laboratory II,必修,专业核心课,中文,1.0,32.0,熊亮,"2-10双,14周,星期四第5-6节 慧园2栋403；2-14双周,星期四第7-8节 慧园2栋403；12周,星期四第5-6节 工学院单楼740",,,,20/8,0/0,环境科学与工程学院
水资源评价与管理-01班-双语,本,ESE316,水资源评价与管理 Water Resources Assessment and Management,必修,专业核心课,双语,3.0,48.0,郭正琳,"1-15周,星期三第3-4节 一教222；2-14双周,星期一第3-4节 一教222",,,,20/8,0/0,环境科学与工程学院
地下水水文学-01班-双语,本,ESE318,地下水水文学 Groundwater Hydrology,必修,专业核心课,双语,3.0,48.0,梁修雨,"1-15周,星期一第5-6节 一教222；1-7单,11-15单周,星期三第5-6节 一教222；10周,星期四第5-6节 一教222",,,,20/6,0/0,环境科学与工程学院
模式生物和发育生物学-01班-双语,本,BIO305,模式生物和发育生物学,选修,专业选修课,双语,3.0,48.0,刘东,"1-9,11-15周,星期四第5-6节 一教227；2-14双周,星期二第9-10节 一教227；11周,星期日第9-10节 一教227",,,,30 / 15,0 / 0,生物系
生物信息学-01班-双语,本,BIO306,生物信息学,必修,专业核心课,双语,4.0,96.0,戴萦微，Andrew Hutchins,"1-15周,星期一第7-8节 一教324；1-15周,星期二第1-4节 智华楼506机房","2023级生物信息学专业核心课,生物科学专业选修课。",,,30 / 9,0 / 0,生物系
生物科学前沿讲座与文献综述-01班-双语,本,BIO308,生物科学前沿讲座与文献综述,选修,专业选修课,双语,2.0,32.0,廖茂富,"1-15周,星期三第3-4节 一教326",,,,20 / 20,0 / 0,生物系
计算生物学-01班-双语,本,BIO309,计算生物学,必修,专业核心课,双语,3.0,64.0,梁征宇,"1-15周,星期二第1-2节 智华楼305","2023级生物信息学专业核心课,生物科学专业选修课。",,,30 / 25,0 / 0,生物系
环境数据分析-01班-英文,本,ESE335,环境数据分析,选修,专业选修课,英文,3.0,48.0,朱雷,"1-15周,星期一第7-8节 一教221<br/>2-14双周,星期三第9-10节 一教221",,,,18 / 4,10 / 6,环境科学与工程学院
环境心理学与设计应用-01班-双语,本,ESE337,环境心理学与设计应用,任选,专业选修课,双语,3.0,48.0,王扬,"1-13,15周,星期一第9-10节 一教125<br/>1周,星期日第9-10节 风雨操场<br/>2-12双周,星期四第9-10节 一教125<br/>11周,星期日第9-10节 风雨操场",,,,20 / 10,10 / 1,环境科学与工程学院
生态修复-01班-中文,本,ESE412,生态修复,选修,专业选修课,中文,3.0,48.0,杨丽红,"1-9,12-15周,星期三第7-8节 一教405<br/>2-14双周,星期五第3-4节 一教405<br/>12周,星期六第7-8节 校外活动场所<br/>12周,星期日第3-4节 校外活动场所",,,,20 / 4,10 / 7,环境科学与工程学院
毕业论文（设计）-01班-中文-后置名单,本,ESE490,毕业论文（设计）,毕业设计/论文,专业必修课,中文,6.0,192.0,,——,,,,5 / 0,0 / 0,环境科学与工程学院
环境纳米技术-01班-中文,研,ESE5021,环境纳米技术 Environmental Nanotechnology,选修,专业核心课,中文,2.0,32.0,王伟,"1-15周,星期一第3-4节 一教124",,年级:2025;学院:深圳理工大学;层次:硕士;,,0 / 0,20 / 5,环境科学与工程学院
高级地下水水文学-01班-中文,研,ESE5055,高级地下水水文学 Advanced Groundwater Hydrology,选修,专业选修课,中文,3.0,48.0,李海龙,"1-15周,星期一第3-4节 智华楼212 1-15周,星期三第3-4节 智华楼212",,年级:2025;学院:深圳理工大学;层次:硕士;,,0 / 0,20 / 10,环境科学与工程学院
污染物环境行为与风险评估-01班-中文,研,ESE5056,污染物环境行为与风险评估 Behaviour and Risk Assessment of Pollutants,选修,专业选修课,中文,3.0,48.0,史江红,"1-11,13-15周,星期五第3-4节 一教326 2-14双周,星期四第7-8节 一教326 13周,星期四第7-8节 一教326",,年级:2025;学院:深圳理工大学;层次:硕士;,,0 / 0,20 / 10,环境科学与工程学院
遥感水文学-01班-中文,研,ESE5094,遥感水文学 Remote Sensing in Hydrology,选修,专业选修课,中文,3.0,48.0,姜丽光,"1-15周,星期一第9-11节 工学院南楼739 机房",,年级:2025;学院:深圳理工大学;层次:硕士;,,0 / 0,20 / 12,环境科学与工程学院
环境生物分析化学-01班-中文,研,ESE5096,环境生物分析化学 Environmental Bioanalytical Chemistry,选修,专业核心课,中文,3.0,48.0,张斌田,"1-15周,星期二第5-6节 一教226 1-15周,星期四第3-4节 一教226",,年级:2025;学院:深圳理工大学;层次:硕士;,,0 / 0,30 / 24,环境科学与工程学院
大气气溶胶-01班-英文,研,ESE5102,大气气溶胶 Atmospheric Aerosols,选修,专业核心课,英文,3.0,48.0,叶建淮(代) 叶建淮 傅宗玫,"1-9,11-12,14,15周,星期一第9-10节 智华楼309
1-15周,星期一第11-11节 智华楼309
10周,星期一第9-10节 智华楼309
13周,星期一第9-10节 智华楼309",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,20 / 5,环境科学与工程学院
生态河流动力学-01班-中文,研,ESE5107,生态河流动力学 Eco-Fluvial Dynamics,选修,专业核心课,中文,3.0,48.0,刘延,"1-13周,星期一第5-6节 智华楼211
2-14双周,星期三第3-4节 智华楼211
13周,星期六第5-6节 校外活动场所
13周,星期日第5-6节 风雨操场",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,20 / 7,环境科学与工程学院
极地探索-01班-双语,本,ESS104,极地探索 Exploring the Polar Regions,任选,专业导论类,双语,2.0,32.0,李斐 丁杰(代),"1-11,13-15周,星期五第5-6节 智华楼203
12周,星期五第5-6节 智华楼203",,,,60 / 59,0 / 0,地球与空间科学系
计算方法-01班-双语,本,ESS205,计算方法 Computational Methods,必修,专业基础课,双语,3.0,48.0,胡佳顺,"1-15周,星期三第3-4节 商学院225
1-9单,15周,星期五第3-4节 商学院225
9周,星期日第3-4节 商学院225
14周,星期六第3-4节 商学院225",,,,30 / 16,0 / 0,地球与空间科学系
信号处理与数据分析基础-01班-双语,本,ESS206,信号处理与数据分析基础 Fundamentals of Signal Processing and Data Analysis,必修,专业基础课,双语,4.0,64.0,韩鹏,"1-9,11-15周,星期一第7-8节 智华楼113
1-8,10-13,15周,星期三第1-2节 智华楼113
9周,星期六第3-4节 智华楼113
11周,星期日第3-4节 智华楼113
13周,星期六第3-4节 智华楼113",,,,25 / 17,0 / 0,地球与空间科学系
自然灾害学-01班-双语,本,ESS208,自然灾害学 Introduction to Natural Disaster Science,选修,专业导论类,双语,2.0,32.0,田晨,"1-8,10-15周,星期三第9-10节 一教325
9周,星期日第9-10节 一教325",,,,50 / 43,0 / 0,地球与空间科学系
固体地球物理学原理-01班-双语,本,ESS209,"固体地球物理学原理
Principles of Geophysics",必修,专业核心课,双语,3.0,48.0,徐世庆,"1-15周,星期一第5-6节 智华楼113<br/>1-15周,星期三第5-6节 智华楼113",,,,25/20,0/0,地球与空间科学系
空间科学与技术基础-01班-双语,本,ESS210,"空间科学与技术基础
Fundamentals of Space Science and Technology",必修,专业核心课,双语,3.0,48.0,刘剑军,"1-15周,星期二第3-4节 智华楼113<br/>1-15周,星期五第7-8节 智华楼113",,,,15/13,0/0,地球与空间科学系
行星科学基础-01班-双语,本,ESS211,"行星科学基础
Fundamentals of Planetary Science",必修,专业核心课,双语,3.0,48.0,林玉峰 田振银,"1-2,4-15周,星期五第5-6节 智华楼113<br/>2-14双周,星期二第5-6节 智华楼113<br/>3周,星期五第5-6节 智华楼113",,,,15/10,0/0,地球与空间科学系
应用地球物理学原理-01班-英文,本,ESS214,"应用地球物理学原理
Principles of Applied Geophysics",必修,专业核心课,英文,3.0,48.0,杨迪琨,"1-15周,星期一第3-4节 智华楼113<br/>2,6-14双周,星期三第5-6节 智华楼113<br/>4周,星期三第5-6节 理学院E4149实验室",,,,25/16,0/0,地球与空间科学系
人工智能科学应用-01班-双语,本,ESS423,"人工智能科学应用
Artificial Intelligence for Sciences",选修,专业选修课,双语,3.0,48.0,陈克杰,"1-14周,星期一第5-6节 智华楼114
2-14双周,星期三第7-8节 智华楼114
15周,星期三第7-8节 智华楼114",,,,15/2,10/8,地球与空间科学系
科技创新项目-01班-中文-后置名单,本,ESS480,"科技创新项目
Projects of Science and Technology Innovation",必修,实践,中文,2.0,64.0,张伟,选课要求:线下选课，留意教学秘书邮件通知,,,,10/0,0/0,地球与空间科学系
科技创新项目-01班-双语-后置名单,本,ESS481,"科技创新项目I
Projects of Science and Technology Innovation I",必修,专业必修课,双语,2.0,64.0,张伟,选课要求:线下选课，留意教学秘书邮件通知,,,,10/0,0/0,地球与空间科学系
科技创新项目II-01班-双语-后置名单,本,ESS482,"科技创新项目II
Projects of Science and Technology Innovation II",必修,专业必修课,双语,2.0,64.0,张伟,选课要求:线下选课，留意教学秘书邮件通知,,,,10/0,0/0,地球与空间科学系
毕业论文（设计）-01班-中文-后置名单,本,ESS490,"毕业论文（设计）
Thesis(Graduation Project)",必修,专业必修课,中文,8.0,256.0,张伟,选课要求:线下选课，留意教学秘书邮件通知,,,,10/0,0/0,地球与空间科学系
毕业论文（设计）-01班-双语-后置名单,本,ESS491,"毕业论文（设计）
Thesis(Graduation Project)",必修,专业必修课,双语,12.0,384.0,张伟,选课要求:线下选课，留意教学秘书邮件通知,,,,20/0,0/0,地球与空间科学系
定量地震学-01班-中文,研,ESS5001,定量地震学 Quantitative Seismology,必修,专业必修课,中文,3.0,48.0,陈晓非,"2-15周,星期一第1-2节 智华楼202 2-15周,星期一第3-3节 智华楼202 2周,星期六第2-3节 智华楼202 2周,星期六第4-4节 智华楼202",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 27,地球与空间科学系
地球动力学-01班-中文,研,ESS5002,地球动力学 Geodynamics,必修,专业必修课,中文,3.0,48.0,杨亭,"1-15周,星期五第9-11节 智华楼301",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 13,地球与空间科学系
地球物理反演理论-01班-中文,研,ESS5026,地球物理反演理论 Geophysical Inverse Problem,必修,专业必修课,中文,3.0,48.0,张伟,"1-9,11-15周,星期一第5-6节 商学院207 1-15周,星期三第3-4节 商学院207 10周,星期三第3-4节 商学院207",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 16,地球与空间科学系
力电耦合原理-01班-中文,研,ESS5027,力电耦合原理 Principal of Mechanical-Electromagnetic Coupling,选修,专业选修课,中文,2.0,32.0,任恒鑫,"1-11,13-15周,星期二第5-6节 智华楼11 4 12周,星期三第3-4节 智华楼115",,,,0 / 0,15 / 5,地球与空间科学系
现代信号分析与数据处理-01班-中文,研,ESS5028,现代信号分析与数据处理,必修,专业选修课,中文,3.0,48.0,孟浩然,"1-7,9-15周,星期五第3-4节 智华楼105 2-8双,12,14周,星期二第3-4节 智华楼202 13周,星期四第1-2节 智华楼202 15周,星期四第1-2节 智华楼202",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,80 / 47,地球与空间科学系
地球与行星内部物理学-02班-中文,研,ESS5031,地球与行星内部物理学,,专业核心课,中文,3.0,48.0,景志成,"1-15周,星期二第9-11节 智华楼303",,,"年级:2025,学院:深圳理工大学,层次:硕士;",15 / 6,40 / 9,地球与空间科学系
观测地震学-01班-中文,研,ESS5034,观测地震学,选修,专业选修课,中文,3.0,48.0,俞春泉,"1-7,9-15周,星期一第9-10节 智华楼503机房 1-7,9-15周,星期一第11-11节 智华楼503机房 9周,星期六第2-2节 智华楼503机房 9周,星期六第3-4节 智华楼503机房",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 14,地球与空间科学系
地震波传播和成像-01班-中文,研,ESS5036,地震波传播和成像,必修,专业必修课,中文,3.0,48.0,张剑锋,"1-9,11-12,14,15周,星期三第9-10节 智华楼308 1-9,11-12,14,15周,星期三第11-11节 智华楼308 11周,星期四第9-10节 智华楼211 11周,星期四第11-11节 智华楼211 14周,星期四第9-10节 智华楼211 14周,星期四第11-11节 智华楼211",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,40/10,地球与空间科学系
现代大地测量技术-01班-中文,研,ESS5056,现代大地测量技术,选修,专业选修课,中文,3.0,48.0,冉将军,"1-2,4-15周,星期四第9-10节 智华楼309 1-15周,星期四第11-11节 智华楼309 3周,星期四第9-10节 田径场",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,40/11,地球与空间科学系
学术报告制作与实践-01班-中文,研,ESS5057,学术报告制作与实践,选修,专业选修课,中文,1.0,16.0,罗海澎,"1-15周,星期四第5-6节 智华楼310",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,40/12,地球与空间科学系
地球化学-01班-中文,研,ESS5065,地球化学,,专业选修课,中文,2.0,32.0,陈斌,"1-15周,星期三第5-6节 智华楼310",,,年级:2025;学院:深圳理工大学;层次:硕士;,20/3,20/4,地球与空间科学系
数据结构与金融应用-01班-双语,本,FET206,数据结构与金融应用 Data Structure and Financial Applications,必修,专业必修课,双语,3.0,48.0,王新杰,"1-15周,星期三第5-6节 商学院109 1-15周,星期五第5-6节 商学院109",,,,45 / 15,0 / 0,金融系
金融风险管理-01班-双语,本,FET303,金融风险管理 Financial Risk Management,必修,专业必修课,双语,3.0,48.0,杨博文,"1-15周,星期二第5-6节 智华楼310 1-15周,星期四第7-8节 智华楼310",,,,45 / 17,0 / 0,金融系
商务大数据分析-01班-双语,本,FET306,商务大数据分析 Business Analytics with Big Data,必修,专业必修课,双语,3.0,64.0,胡大宁,"1-15周,星期一第7-8节 商学院111 1-15周,星期一第9-10节 智华楼502机房",,,,45 / 17,0 / 0,金融系
金融工程理论实践课-01班-中文-后置名单,本,FET470,金融工程理论实践课 Practice of Financial Theory,必修,专业必修课,中文,2.0,64.0,,,,,,60 / 0,0 / 0,金融系
毕业论文（设计）-01班-中文-后置名单,本,FET490,毕业论文（设计） Thesis,必修,专业必修课,中文,8.0,256.0,,,,,,60 / 0,0 / 0,金融系
专业实习-01班-中文-后置名单,本,FETS301,专业实习 Internship,必修,实践,中文,3.0,96.0,孙便霞,,,,,60 / 0,0 / 0,金融系
计算生物学-01班-双语-1组,本,BIO309,计算生物学Computational Biology,必修,专业核心课,双语,3.0,64.0,梁征宇,"1-15周,星期二第1-2节 智华楼305","2023级生物信息学专业核心课,生物科学专业选修课.",,,30/25,0/0,生物系
分子生物学-01班-双语,本,BIO320,分子生物学,必修,专业核心课,双语,3.0,48.0,李瑞熙,"1-5,7-15周,星期二第7-8节 一教224 2-14双周,星期五第5-6节 一教224 7周,星期六第7-8节 一教224",,,,50/49,0/0,生物系
蛋白质结构与功能-01班-双语,本,BIO331,蛋白质结构与功能,选修,专业选修课,双语,3.0,64.0,曾福星,"1-15周,星期五第5-6节 智华楼302",,,,30/17,0/0,生物系
宏观经济学-01班-双语,本,FIN204,宏观经济学 Macroeconomics,必修,专业基础课,双语,3.0,48.0,孙俊霞,"1-15周,星期一第3-4节 商学院110
1-15周,星期三第3-4节 商学院110",,,,50 / 47,0 / 0,金融系
公司金融-01班-中文,本,FIN206,公司金融 Corporate Finance,必修,专业必修课,中文,3.0,48.0,杨旭宁,"1-15周,星期二第9-11节 商学院110",,,,50 / 22,0 / 0,金融系
